"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
0,264,580,607,1359,1480.06802914172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,378,422,566,1476,1573,2459,2469.97535701289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,493,523,648,820,1008,1767,1823,1993.00956246549,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,202,247,261,770,1000,1049,1183,2267.32612319272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,84,87,390,682,1184,1200,1401,1585.84192842254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,296,528,579,734,1139.95230201838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,598,652,1265,1640.53993378255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,740,889,1159,1571,1836,2193.5863288094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,308,392,446,1214.94921590987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1691.00349787327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,109,584,1241,2298,2618,2722.5051668277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,245,1482,1787,1891.05351185345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,4,1242,2191.19501054302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,214,1471,1511,1642.134818866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,390,618,911,1010,1093,1145,1162,1456,1515.11047727811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,106,524,937,1073,1462.91292818902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,155,250,804,1684,1706.71372941863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,554,691,1008,1254.83254831168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,212,303,529,730,979,1251,1317,1387.23787685945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,228,433,521,828,950,985,1324,1359.8077100894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,14,71,321,492,939,1479,1643,1764,1857.22381144193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,31,431,498.591667491086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,50,57,725,1041,1049,1196,1303,1326,1432.50068166257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,66,930,1672,1871,2401.40753814758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,656,1759,1894.78318981839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,479,530,697,1010.79960198389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,530,555,819,1276,1366,1757.50307529649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,206,329,525,764,1694.22238046777,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,318,333,614,1194,1630,1709.76421825503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
